county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 211",Ballots Cast,"","","",116
Wayne,"City of Detroit, Precinct 212",Ballots Cast,"","","",170
Wayne,"City of Detroit, Precinct 213",Ballots Cast,"","","",132
Wayne,"City of Detroit, Precinct 214",Ballots Cast,"","","",202
Wayne,"City of Detroit, Precinct 215",Ballots Cast,"","","",233
Wayne,"City of Detroit, Precinct 216",Ballots Cast,"","","",73
Wayne,"City of Detroit, Precinct 217",Ballots Cast,"","","",240
Wayne,"City of Detroit, Precinct 218",Ballots Cast,"","","",106
Wayne,"City of Detroit, Precinct 219",Ballots Cast,"","","",110
Wayne,"City of Detroit, Precinct 220",Ballots Cast,"","","",183
Wayne,"City of Detroit, Precinct 221",Ballots Cast,"","","",186
Wayne,"City of Detroit, Precinct 222",Ballots Cast,"","","",93
Wayne,"City of Detroit, Precinct 223",Ballots Cast,"","","",210
Wayne,"City of Detroit, Precinct 224",Ballots Cast,"","","",81
Wayne,"City of Detroit, Precinct 225",Ballots Cast,"","","",273
Wayne,"City of Detroit, Precinct 226",Ballots Cast,"","","",116
Wayne,"City of Detroit, Precinct 227",Ballots Cast,"","","",191
Wayne,"City of Detroit, Precinct 228",Ballots Cast,"","","",159
Wayne,"City of Detroit, Precinct 229",Ballots Cast,"","","",206
Wayne,"City of Detroit, Precinct 230",Ballots Cast,"","","",209
Wayne,"City of Detroit, Precinct 231",Ballots Cast,"","","",185
Wayne,"City of Detroit, Precinct 232",Ballots Cast,"","","",233
Wayne,"City of Detroit, Precinct 233",Ballots Cast,"","","",238
Wayne,"City of Detroit, Precinct 234",Ballots Cast,"","","",192
Wayne,"City of Detroit, Precinct 235",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 236",Ballots Cast,"","","",237
Wayne,"City of Detroit, Precinct 237",Ballots Cast,"","","",240
Wayne,"City of Detroit, Precinct 238",Ballots Cast,"","","",178
Wayne,"City of Detroit, Precinct 239",Ballots Cast,"","","",166
Wayne,"City of Detroit, Precinct 240",Ballots Cast,"","","",182
Wayne,"City of Detroit, Precinct 241",Ballots Cast,"","","",183
Wayne,"City of Detroit, Precinct 242",Ballots Cast,"","","",214
Wayne,"City of Detroit, Precinct 243",Ballots Cast,"","","",93
Wayne,"City of Detroit, Precinct 244",Ballots Cast,"","","",199
Wayne,"City of Detroit, Precinct 245",Ballots Cast,"","","",220
Wayne,"City of Detroit, Precinct 246",Ballots Cast,"","","",217
Wayne,"City of Detroit, Precinct 247",Ballots Cast,"","","",160
Wayne,"City of Detroit, Precinct 248",Ballots Cast,"","","",118
Wayne,"City of Detroit, Precinct 249",Ballots Cast,"","","",211
Wayne,"City of Detroit, Precinct 250",Ballots Cast,"","","",235
Wayne,"City of Detroit, Precinct 251",Ballots Cast,"","","",143
Wayne,"City of Detroit, Precinct 252",Ballots Cast,"","","",131
Wayne,"City of Detroit, Precinct 253",Ballots Cast,"","","",151
Wayne,"City of Detroit, Precinct 254",Ballots Cast,"","","",235
Wayne,"City of Detroit, Precinct 255",Ballots Cast,"","","",105
Wayne,"City of Detroit, Precinct 256",Ballots Cast,"","","",175
Wayne,"City of Detroit, Precinct 257",Ballots Cast,"","","",252
Wayne,"City of Detroit, Precinct 258",Ballots Cast,"","","",223
Wayne,"City of Detroit, Precinct 259",Ballots Cast,"","","",228
