county,precinct,office,district,candidate,party,votes,unofficial
Tioga,Owego - 6,State Assembly,124,Christopher S. Friend,REP,359,NA
Tioga,Owego - 6,State Assembly,124,Christopher S. Friend,CON,18,NA
Tioga,Owego - 6,State Assembly,124,Christopher S. Friend,IND,22,NA
Tioga,Owego - 6,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 6,State Assembly,124,Voids,,0,NA
Tioga,Owego - 6,State Assembly,124,Blanks,,39,NA
Tioga,Owego - 7,State Assembly,124,Randy Reid,DEM,325,NA
Tioga,Owego - 7,State Assembly,124,Christopher S. Friend,REP,270,NA
Tioga,Owego - 7,State Assembly,124,Christopher S. Friend,CON,25,NA
Tioga,Owego - 7,State Assembly,124,Christopher S. Friend,IND,24,NA
Tioga,Owego - 7,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 7,State Assembly,124,Voids,,0,NA
Tioga,Owego - 7,State Assembly,124,Blanks,,48,NA
Tioga,Owego - 8,State Assembly,124,Randy Reid,DEM,130,NA
Tioga,Owego - 8,State Assembly,124,Christopher S. Friend,REP,142,NA
Tioga,Owego - 8,State Assembly,124,Christopher S. Friend,CON,12,NA
Tioga,Owego - 8,State Assembly,124,Christopher S. Friend,IND,6,NA
Tioga,Owego - 8,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 8,State Assembly,124,Voids,,1,NA
Tioga,Owego - 8,State Assembly,124,Blanks,,15,NA
Tioga,Owego - 10,State Assembly,124,Randy Reid,DEM,203,NA
Tioga,Owego - 10,State Assembly,124,Christopher S. Friend,REP,402,NA
Tioga,Owego - 10,State Assembly,124,Christopher S. Friend,CON,34,NA
Tioga,Owego - 10,State Assembly,124,Christopher S. Friend,IND,20,NA
Tioga,Owego - 10,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 10,State Assembly,124,Voids,,0,NA
Tioga,Owego - 10,State Assembly,124,Blanks,,22,NA
Tioga,Owego - 11,State Assembly,124,Randy Reid,DEM,115,NA
Tioga,Owego - 11,State Assembly,124,Christopher S. Friend,REP,312,NA
Tioga,Owego - 11,State Assembly,124,Christopher S. Friend,CON,26,NA
Tioga,Owego - 11,State Assembly,124,Christopher S. Friend,IND,14,NA
Tioga,Owego - 11,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 11,State Assembly,124,Voids,,0,NA
Tioga,Owego - 11,State Assembly,124,Blanks,,27,NA
Tioga,Owego - 12,State Assembly,124,Randy Reid,DEM,128,NA
Tioga,Owego - 12,State Assembly,124,Christopher S. Friend,REP,208,NA
Tioga,Owego - 12,State Assembly,124,Christopher S. Friend,CON,21,NA
Tioga,Owego - 12,State Assembly,124,Christopher S. Friend,IND,11,NA
Tioga,Owego - 12,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 12,State Assembly,124,Voids,,0,NA
Tioga,Owego - 12,State Assembly,124,Blanks,,25,NA
Tioga,Owego - 13,State Assembly,124,Randy Reid,DEM,141,NA
Tioga,Owego - 13,State Assembly,124,Christopher S. Friend,REP,314,NA
Tioga,Owego - 13,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Owego - 13,State Assembly,124,Christopher S. Friend,IND,19,NA
Tioga,Owego - 13,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 13,State Assembly,124,Voids,,0,NA
Tioga,Owego - 13,State Assembly,124,Blanks,,17,NA
Tioga,Owego - 14,State Assembly,124,Randy Reid,DEM,193,NA
Tioga,Owego - 14,State Assembly,124,Christopher S. Friend,REP,326,NA
Tioga,Owego - 14,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Owego - 14,State Assembly,124,Christopher S. Friend,IND,12,NA
Tioga,Owego - 14,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 14,State Assembly,124,Voids,,1,NA
Tioga,Owego - 14,State Assembly,124,Blanks,,25,NA
Tioga,Owego - 15,State Assembly,124,Randy Reid,DEM,345,NA
Tioga,Owego - 15,State Assembly,124,Christopher S. Friend,REP,466,NA
Tioga,Owego - 15,State Assembly,124,Christopher S. Friend,CON,28,NA
Tioga,Owego - 15,State Assembly,124,Christopher S. Friend,IND,23,NA
Tioga,Owego - 15,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 15,State Assembly,124,Voids,,0,NA
Tioga,Owego - 15,State Assembly,124,Blanks,,53,NA
Tioga,Owego - 16,State Assembly,124,Randy Reid,DEM,133,NA
Tioga,Owego - 16,State Assembly,124,Christopher S. Friend,REP,334,NA
Tioga,Owego - 16,State Assembly,124,Christopher S. Friend,CON,31,NA
Tioga,Owego - 16,State Assembly,124,Christopher S. Friend,IND,17,NA
Tioga,Owego - 16,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 16,State Assembly,124,Voids,,0,NA
Tioga,Owego - 16,State Assembly,124,Blanks,,21,NA
Tioga,Owego - 17,State Assembly,124,Randy Reid,DEM,398,NA
Tioga,Owego - 17,State Assembly,124,Christopher S. Friend,REP,438,NA
Tioga,Owego - 17,State Assembly,124,Christopher S. Friend,CON,33,NA
Tioga,Owego - 17,State Assembly,124,Christopher S. Friend,IND,27,NA
Tioga,Owego - 17,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 17,State Assembly,124,Voids,,0,NA
Tioga,Owego - 17,State Assembly,124,Blanks,,50,NA
Tioga,Owego - 18,State Assembly,124,Randy Reid,DEM,187,NA
Tioga,Owego - 18,State Assembly,124,Christopher S. Friend,REP,207,NA
Tioga,Owego - 18,State Assembly,124,Christopher S. Friend,CON,10,NA
Tioga,Owego - 18,State Assembly,124,Christopher S. Friend,IND,12,NA
Tioga,Owego - 18,State Assembly,124,WriteIn,,0,NA
Tioga,Owego - 18,State Assembly,124,Voids,,0,NA
Tioga,Owego - 18,State Assembly,124,Blanks,,25,NA
Tioga,Owego - 19,State Assembly,124,Randy Reid,DEM,200,NA
Tioga,Owego - 19,State Assembly,124,Christopher S. Friend,REP,353,NA
Tioga,Owego - 19,State Assembly,124,Christopher S. Friend,CON,26,NA
Tioga,Owego - 19,State Assembly,124,Christopher S. Friend,IND,27,NA
Tioga,Owego - 19,State Assembly,124,WriteIn,,1,NA
Tioga,Owego - 19,State Assembly,124,Voids,,1,NA
Tioga,Owego - 19,State Assembly,124,Blanks,,38,NA
Tioga,Richford - 1,State Assembly,124,Randy Reid,DEM,168,NA
Tioga,Richford - 1,State Assembly,124,Christopher S. Friend,REP,293,NA
Tioga,Richford - 1,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Richford - 1,State Assembly,124,Christopher S. Friend,IND,22,NA
Tioga,Richford - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Richford - 1,State Assembly,124,Voids,,0,NA
Tioga,Richford - 1,State Assembly,124,Blanks,,29,NA
Tioga,Spencer - 1,State Assembly,124,Randy Reid,DEM,304,NA
Tioga,Spencer - 1,State Assembly,124,Christopher S. Friend,REP,445,NA
Tioga,Spencer - 1,State Assembly,124,Christopher S. Friend,CON,34,NA
Tioga,Spencer - 1,State Assembly,124,Christopher S. Friend,IND,21,NA
Tioga,Spencer - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Spencer - 1,State Assembly,124,Voids,,0,NA
Tioga,Spencer - 1,State Assembly,124,Blanks,,56,NA
Tioga,Spencer - 2,State Assembly,124,Randy Reid,DEM,206,NA
Tioga,Spencer - 2,State Assembly,124,Christopher S. Friend,REP,367,NA
Tioga,Spencer - 2,State Assembly,124,Christopher S. Friend,CON,27,NA
Tioga,Spencer - 2,State Assembly,124,Christopher S. Friend,IND,18,NA
Tioga,Spencer - 2,State Assembly,124,WriteIn,,0,NA
Tioga,Spencer - 2,State Assembly,124,Voids,,0,NA
Tioga,Spencer - 2,State Assembly,124,Blanks,,48,NA
Tioga,Tioga - 1,State Assembly,124,Randy Reid,DEM,178,NA
Tioga,Tioga - 1,State Assembly,124,Christopher S. Friend,REP,349,NA
Tioga,Tioga - 1,State Assembly,124,Christopher S. Friend,CON,24,NA
Tioga,Tioga - 1,State Assembly,124,Christopher S. Friend,IND,21,NA
Tioga,Tioga - 1,State Assembly,124,WriteIn,,0,NA
Tioga,Tioga - 1,State Assembly,124,Voids,,1,NA
Tioga,Tioga - 1,State Assembly,124,Blanks,,46,NA
Tioga,Tioga - 2,State Assembly,124,Randy Reid,DEM,217,NA
Tioga,Tioga - 2,State Assembly,124,Christopher S. Friend,REP,592,NA
Tioga,Tioga - 2,State Assembly,124,Christopher S. Friend,CON,39,NA
Tioga,Tioga - 2,State Assembly,124,Christopher S. Friend,IND,13,NA
Tioga,Tioga - 2,State Assembly,124,WriteIn,,1,NA
Tioga,Tioga - 2,State Assembly,124,Voids,,0,NA
Tioga,Tioga - 2,State Assembly,124,Blanks,,59,NA
Tioga,Tioga - 4,State Assembly,124,Randy Reid,DEM,152,NA
Tioga,Tioga - 4,State Assembly,124,Christopher S. Friend,REP,388,NA
Tioga,Tioga - 4,State Assembly,124,Christopher S. Friend,CON,17,NA
Tioga,Tioga - 4,State Assembly,124,Christopher S. Friend,IND,17,NA
Tioga,Tioga - 4,State Assembly,124,WriteIn,,0,NA
Tioga,Tioga - 4,State Assembly,124,Voids,,1,NA
Tioga,Tioga - 4,State Assembly,124,Blanks,,41,NA
